Beat,Community,Command,CommandAuditGroup,CommandAuditSize
000,UNKNOWN BEAT IN COUNTY,UNKNOWN BEAT IN COUNTY,,
001,CARLSBAD,NON-CONTRACT CITIES,,
002,CHULA VISTA,NON-CONTRACT CITIES,,
003,CORONADO,NON-CONTRACT CITIES,,
004,EL CAJON,NON-CONTRACT CITIES,,
005,ESCONDIDO,NON-CONTRACT CITIES,,
006,LA MESA,NON-CONTRACT CITIES,,
007,NATIONAL CITY,NON-CONTRACT CITIES,,
008,OCEANSIDE,NON-CONTRACT CITIES,,
009,SAN DIEGO,NON-CONTRACT CITIES,,
011,NON-CONTRACT CITIES,NON-CONTRACT CITIES,,
041,SAN DIEGO COURT [OLD],COURT SERVICES,,
042,HALL OF JUSTICE COURT,COURT SERVICES,,
043,MADGE BRADLEY COURT,COURT SERVICES,,
044,FAMILY LAW COURT,COURT SERVICES,,
045,KEARNY MESA COURT,COURT SERVICES,,
046,JUVENILE COURT,COURT SERVICES,,
047,SAN DIEGO CENTRAL COURT,COURT SERVICES,,
051,EL CAJON COURT,COURT SERVICES,,
052,CHULA VISTA COURT,COURT SERVICES,,
053,SAN MARCOS COURT,COURT SERVICES,,
054,OCEANSIDE COURT,COURT SERVICES,,
055,RAMONA COURT,COURT SERVICES,,
056,VISTA COURT,COURT SERVICES,,
201,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
202,CAMP PENDLETON,NORTH COASTAL,NORTH COASTAL                                     ,L
203,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
204,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
205,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
206,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
208,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
210,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
211,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
212,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
214,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
215,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
220,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
221,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
222,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
223,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
224,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
230,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
240,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
241,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
242,ENCINITAS (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
249,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
250,RANCHO SANTA FE,NORTH COASTAL,NORTH COASTAL                                     ,L
251,RANCHO SANTA FE,NORTH COASTAL,NORTH COASTAL                                     ,L
252,RANCHO SANTA FE,NORTH COASTAL,NORTH COASTAL                                     ,L
253,RANCHO SANTA FE,NORTH COASTAL,NORTH COASTAL                                     ,L
271,SOLANA BEACH (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
272,SOLANA BEACH (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
273,SOLANA BEACH (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
274,SOLANA BEACH (CITY),NORTH COASTAL,NORTH COASTAL                                     ,L
281,RANCHO SANTA FE,NORTH COASTAL,NORTH COASTAL                                     ,L
282,RANCHO SANTA FE,NORTH COASTAL,NORTH COASTAL                                     ,L
291,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
292,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
293,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
294,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
295,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
296,NORTH COASTAL UNINCORPORATED,NORTH COASTAL,NORTH COASTAL                                     ,L
301,VISTA (CITY),VISTA,VISTA                                             ,L
302,VISTA (CITY),VISTA,VISTA                                             ,L
303,VISTA (CITY),VISTA,VISTA                                             ,L
304,VISTA (CITY),VISTA,VISTA                                             ,L
305,VISTA (CITY),VISTA,VISTA                                             ,L
306,VISTA (CITY),VISTA,VISTA                                             ,L
307,VISTA (CITY),VISTA,VISTA                                             ,L
308,VISTA (CITY),VISTA,VISTA                                             ,L
309,VISTA (CITY),VISTA,VISTA                                             ,L
310,VISTA (CITY),VISTA,VISTA                                             ,L
311,VISTA (CITY),VISTA,VISTA                                             ,L
312,VISTA (CITY),VISTA,VISTA                                             ,L
313,VISTA (CITY),VISTA,VISTA                                             ,L
314,VISTA (CITY),VISTA,VISTA                                             ,L
315,VISTA (CITY),VISTA,VISTA                                             ,L
316,VISTA (CITY),VISTA,VISTA                                             ,L
317,VISTA (CITY),VISTA,VISTA                                             ,L
318,VISTA (CITY),VISTA,VISTA                                             ,L
319,VISTA (CITY),VISTA,VISTA                                             ,L
321,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
323,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
324,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
325,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
326,SAN MARCOS UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
327,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
328,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
329,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
330,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
331,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
332,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
333,VISTA UNINCORPORATED,VISTA,VISTA                                             ,L
349,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
350,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
351,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
352,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
353,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
354,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
355,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
356,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
357,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
358,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
359,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
360,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
361,SAN MARCOS (CITY),SAN MARCOS,SAN MARCOS                                        ,L
362,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
363,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
364,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
365,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
366,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
367,SAN MARCOS UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
369,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
371,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
372,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
373,SAN MARCOS UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
375,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
376,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
377,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
378,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
379,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
380,ESCONDIDO UNINCORPORATED,SAN MARCOS,SAN MARCOS                                        ,L
381,FALLBROOK,VISTA,FALLBROOK                                         ,S
382,FALLBROOK,VISTA,FALLBROOK                                         ,S
383,FALLBROOK,VISTA,FALLBROOK                                         ,S
384,FALLBROOK,VISTA,FALLBROOK                                         ,S
385,FALLBROOK,VISTA,FALLBROOK                                         ,S
386,FALLBROOK,VISTA,FALLBROOK                                         ,S
387,FALLBROOK,VISTA,FALLBROOK                                         ,S
388,FALLBROOK,VISTA,FALLBROOK                                         ,S
389,FALLBROOK,VISTA,FALLBROOK                                         ,S
390,FALLBROOK,VISTA,FALLBROOK                                         ,S
391,FALLBROOK,VISTA,FALLBROOK                                         ,S
392,FALLBROOK,VISTA,FALLBROOK                                         ,S
393,FALLBROOK,VISTA,FALLBROOK                                         ,S
394,FALLBROOK,VISTA,FALLBROOK                                         ,S
395,FALLBROOK,VISTA,FALLBROOK                                         ,S
396,BONSALL,VISTA,FALLBROOK                                         ,S
397,BONSALL,VISTA,FALLBROOK                                         ,S
398,FALLBROOK,VISTA,FALLBROOK                                         ,S
399,FALLBROOK,VISTA,FALLBROOK                                         ,S
401,POWAY (CITY),POWAY,POWAY                                             ,S
402,POWAY (CITY),POWAY,POWAY                                             ,S
403,POWAY (CITY),POWAY,POWAY                                             ,S
404,POWAY (CITY),POWAY,POWAY                                             ,S
405,POWAY (CITY),POWAY,POWAY                                             ,S
406,POWAY (CITY),POWAY,POWAY                                             ,S
407,POWAY (CITY),POWAY,POWAY                                             ,S
408,POWAY (CITY),POWAY,POWAY                                             ,S
409,POWAY (CITY),POWAY,POWAY                                             ,S
410,POWAY (CITY),POWAY,POWAY                                             ,S
411,POWAY (CITY),POWAY,POWAY                                             ,S
412,POWAY (CITY),POWAY,POWAY                                             ,S
413,POWAY (CITY),POWAY,POWAY                                             ,S
414,POWAY (CITY),POWAY,POWAY                                             ,S
415,POWAY (CITY),POWAY,POWAY                                             ,S
416,POWAY (CITY),POWAY,POWAY                                             ,S
417,POWAY (CITY),POWAY,POWAY                                             ,S
418,4S RANCH,POWAY,POWAY                                             ,S
419,4S RANCH,POWAY,POWAY                                             ,S
420,POWAY UNINCORPORATED,POWAY,POWAY                                             ,S
421,POWAY UNINCORPORATED,POWAY,POWAY                                             ,S
422,4S RANCH,POWAY,POWAY                                             ,S
423,POWAY UNINCORPORATED,POWAY,POWAY                                             ,S
424,4S RANCH,POWAY,POWAY                                             ,S
426,POWAY UNINCORPORATED,POWAY,POWAY                                             ,S
430,RAMONA,POWAY,RAMONA                                            ,S
431,RAMONA,POWAY,RAMONA                                            ,S
432,RAMONA,POWAY,RAMONA                                            ,S
433,RAMONA,POWAY,RAMONA                                            ,S
434,RAMONA,POWAY,RAMONA                                            ,S
435,RAMONA,POWAY,RAMONA                                            ,S
436,RAMONA,POWAY,RAMONA                                            ,S
437,RAMONA,POWAY,RAMONA                                            ,S
438,RAMONA,POWAY,RAMONA                                            ,S
439,RAMONA,POWAY,RAMONA                                            ,S
440,RAMONA,POWAY,RAMONA                                            ,S
442,RAMONA,POWAY,RAMONA                                            ,S
443,RAMONA,POWAY,RAMONA                                            ,S
444,RAMONA,POWAY,RAMONA                                            ,S
445,RAMONA,POWAY,RAMONA                                            ,S
501,SANTEE (CITY),SANTEE,SANTEE                                            ,L
502,SANTEE (CITY),SANTEE,SANTEE                                            ,L
503,SANTEE (CITY),SANTEE,SANTEE                                            ,L
504,SANTEE (CITY),SANTEE,SANTEE                                            ,L
505,EL CAJON (CITY),SANTEE,SANTEE                                            ,L
507,SANTEE (CITY),SANTEE,SANTEE                                            ,L
508,SANTEE (CITY),SANTEE,SANTEE                                            ,L
509,SANTEE (CITY),SANTEE,SANTEE                                            ,L
510,SANTEE (CITY),SANTEE,SANTEE                                            ,L
511,SANTEE (CITY),SANTEE,SANTEE                                            ,L
512,SANTEE (CITY),SANTEE,SANTEE                                            ,L
513,SANTEE (CITY),SANTEE,SANTEE                                            ,L
514,SANTEE (CITY),SANTEE,SANTEE                                            ,L
515,SANTEE (CITY),SANTEE,SANTEE                                            ,L
516,SANTEE (CITY),SANTEE,SANTEE                                            ,L
518,SANTEE (CITY),SANTEE,SANTEE                                            ,L
519,SANTEE (CITY),SANTEE,SANTEE                                            ,L
520,SANTEE (CITY),SANTEE,SANTEE                                            ,L
532,LAKESIDE,SANTEE,LAKESIDE                                          ,L
533,LAKESIDE,SANTEE,LAKESIDE                                          ,L
534,LAKESIDE,SANTEE,LAKESIDE                                          ,L
535,LAKESIDE,SANTEE,LAKESIDE                                          ,L
536,LAKESIDE,SANTEE,LAKESIDE                                          ,L
551,EL CAJON UNINCORPORATED,ALPINE,ALPINE                                            ,S
552,ALPINE,ALPINE,ALPINE                                            ,S
553,ALPINE,ALPINE,ALPINE                                            ,S
554,ALPINE,ALPINE,ALPINE                                            ,S
555,EL CAJON UNINCORPORATED,ALPINE,ALPINE                                            ,S
556,ALPINE,ALPINE,ALPINE                                            ,S
557,ALPINE,ALPINE,ALPINE                                            ,S
558,ALPINE,ALPINE,ALPINE                                            ,S
559,EL CAJON UNINCORPORATED,ALPINE,ALPINE                                            ,S
560,EL CAJON UNINCORPORATED,ALPINE,ALPINE                                            ,S
561,EL CAJON UNICORPORATED,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
562,EL CAJON UNINCORPORATED,ALPINE,ALPINE                                            ,L
563,ALPINE,ALPINE,ALPINE                                            ,S
564,ALPINE,ALPINE,ALPINE                                            ,S
601,LEMON GROVE (CITY),RANCHO SAN DIEGO,LEMON GROVE (CITY)                                ,S
602,LEMON GROVE (CITY),RANCHO SAN DIEGO,LEMON GROVE (CITY)                                ,S
603,LEMON GROVE (CITY),RANCHO SAN DIEGO,LEMON GROVE (CITY)                                ,S
604,LEMON GROVE (CITY),RANCHO SAN DIEGO,LEMON GROVE (CITY)                                ,S
605,LEMON GROVE (CITY),RANCHO SAN DIEGO,LEMON GROVE (CITY)                                ,S
606,LEMON GROVE (CITY),RANCHO SAN DIEGO,LEMON GROVE (CITY)                                ,S
607,LEMON GROVE (CITY),RANCHO SAN DIEGO,LEMON GROVE (CITY)                                ,S
610,EL CAJON UNICORPORATED,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
611,LA MESA UNICORPORATED,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
612,LA MESA UNICORPORATED,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
613,EL CAJON UNICORPORATED,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
614,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
615,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
616,LA MESA UNICORPORATED,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
617,EL CAJON UNICORPORATED,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
618,JAMUL,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
619,JAMUL,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
620,GREENWOOD CEMETERY,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
621,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
622,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
623,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
