State,City,County,Inactive Date,Changes_20191117
CA,29 PALMS,SAN BERNARDINO,,
CA,ABERDEEN,INYO,,
CA,ACAMPO,SAN JOAQUIN,,
CA,ACTON,LOS ANGELES,,
CA,ADELAIDE,SAN LUIS OBISPO,,
CA,ADELANTO,SAN BERNARDINO,,
CA,ADIN,MODOC,,
CA,AERIAL ACRES,KERN,,
CA,AFTON,GLENN,,
CA,AGOURA HILLS,LOS ANGELES,,
CA,AGOURA,LOS ANGELES,,
CA,AGUA DULCE,LOS ANGELES,,
CA,AGUANGA,RIVERSIDE,,
CA,AHWAHNEE,MADERA,,
CA,ALABAMA HILLS,INYO,,
CA,ALAMEDA,ALAMEDA,,
CA,ALAMO,CONTRA COSTA,,
CA,ALBANY,ALAMEDA,,
CA,ALBION,MENDOCINO,,
CA,ALDERPOINT,HUMBOLDT,,
CA,ALHAMBRA,LOS ANGELES,,
CA,ALISO VIEJO,ORANGE,,
CA,ALLEGHANY,SIERRA,,
CA,ALLENDALE,SOLANO,,
CA,ALLENSWORTH,TULARE,,
CA,ALMANOR,PLUMAS,,
CA,ALPAUGH,TULARE,,
CA,ALPINE MEADOWS,PLACER,,
CA,ALPINE,SAN DIEGO,,
CA,ALTA HILL,NEVADA,,
CA,ALTA LOMA,SAN BERNARDINO,,
CA,ALTA SIERRA,NEVADA,,
CA,ALTA,PLACER,,
CA,ALTADENA,LOS ANGELES,,
CA,ALTAVILLE,CALAVERAS,,
CA,ALTURAS,MODOC,,
CA,ALVISO,SANTA CLARA,,
CA,AMADOR CITY,AMADOR,,
CA,AMBOY,SAN BERNARDINO,,
CA,AMERICAN CANYON,NAPA,,
CA,ANAHEIM,ORANGE,,
CA,ANCHOR BAY,MENDOCINO,,
CA,ANDERSON SPRINGS,LAKE,,
CA,ANDERSON,SHASTA,,
CA,ANGELS CAMP,CALAVERAS,,
CA,ANGELUS OAKS,SAN BERNARDINO,,
CA,ANGWIN,NAPA,,
CA,ANNAPOLIS,SONOMA,,
CA,ANTELOPE,SACRAMENTO,,
CA,ANTIOCH,CONTRA COSTA,,
CA,ANZA,RIVERSIDE,,
CA,APPLE VALLEY,SAN BERNARDINO,,
CA,APPLEGATE,PLACER,,
CA,APTOS,SANTA CRUZ,,
CA,ARBOGA,YUBA,,
CA,ARBUCKLE,COLUSA,,
CA,ARCADIA,LOS ANGELES,,
CA,ARCATA,HUMBOLDT,,
CA,ARGUS,SAN BERNARDINO,,
CA,ARLETA,LOS ANGELES,,
CA,ARMONA,KINGS,,
CA,ARNOLD,CALAVERAS,,
CA,AROMAS,MONTEREY,,
CA,ARROWBEAR LAKE,SAN BERNARDINO,,
CA,ARROWHEAD FARMS,SAN BERNARDINO,,
CA,ARROYO GRANDE,SAN LUIS OBISPO,,
CA,ARTESIA,LOS ANGELES,,
CA,ARTOIS,GLENN,,
CA,ARVIN,KERN,,
CA,ASTI,SONOMA,,
CA,ATASCADERO,SAN LUIS OBISPO,,
CA,ATHERTON,SAN MATEO,,
CA,ATWATER,MERCED,,
CA,ATWOOD,ORANGE,,
