Offense Validation CD,Offense Code,Offense Txn Type CD,Offense Statute,Offense Type of Statute CD,Statute Literal 25,Offense Default Type of Charge,Offense Type of Charge,Offense Literal Identifier CD,Offense Degree,BCS Hierarchy CD,Offense Enacted,Offense Repealed,ALPS Cognizant CD
1,99999,1,NA - XX,AA,CODE NOT FOUND IN TABLE,0,X,0,0,0,1800-01-01,,*
1,99990,1,NA - XX,AA,COMMUNITY CARETAKING,0,X,0,0,0,1800-01-01,,*
1,66234,1,9,FA,VIOL FOOD/AGRI PROVISION,,M,,,168200,19670101,,*
4,50177,1,17.5(A),PC,MANDATORY SUPERVISION,,X,,,,20111001,,*
1,48052,1,20,VC,USE/ETC FALSE INFO TO DMV,,M,,,141800,19590918,,*
1,48103,1,27,VC,IMPERSONATE CHP OFFICER,,M,,,141600,19590918,,*
1,48051,1,31,VC,GIVE FALSE INFO TO PO,,M,,,162600,19650917,,*
2,46004,1,32,PC,ACCESSORY,,F,,,68600,18720101,20201104,*
1,46039,1,32,PC,ACCESSORY:PER 33 PC,*,M,,,92600,18720101,,*
2,1004,1,37,PC,TREASON,,F,,,1000,18720101,,*
1,1009,1,37(A),PC,TREASON,,F,,,1000,19900101,,*
1,1005,1,38,PC,MISPRISION OF TREASON,,F,,,36200,18720101,,*
1,51004,1,67,PC,BRIBE EXECUTIVE OFFICER,,F,,,18700,18720101,,*
2,51044,1,67.5(A),PC,BRIBE PUBLIC OFFICER/ETC,,M,,,123400,19910101,20201108,*
2,51043,1,67.5(B),PC,BRIBE PUBLIC OFFICER/ETC,,F,,,33300,19910101,20201108,*
2,51006,1,68,PC,ASK/RECEIVE BRIBE,,F,,,18800,19330921,20201112,*
2,48004,1,69,PC,OBSTRUCT/RESIST EXEC OFF,,F,,,37300,18720101,20201112,*
2,48115,1,69,PC,OBSTRUCT/RESIST EXEC OFCR,*,M,,,89500,18720101,20201111,*
2,51046,1,70(A),PC,ASK/GET/ETC $/ETC:OFC ACT,,M,,,123300,19850101,20201108,*
1,51047,1,70.5,PC,COMIS ACPT FEE PERF MARRG,,M,,,102450,19730101,,*
2,33004,1,71,PC,THREATN SCH/PUB OFCR/EMPL,,F,,,40500,19691110,20201111,*
2,33011,1,71,PC,THREATN SCH/PUB OFCR/EMPL,*,M,,,89500,19691110,20201111,*
1,31309,1,71(A)(2),PC,THRTN SCHOOL/PUB OFCR PR,,F,,,40300,19690101,,*
1,26004,1,72,PC,PRESENT FALSE CLAIM,,F,,,53300,18720101,,*
1,26053,1,72,PC,PRESENT FALSE CLAIM,*,M,,,99900,18720101,,*
1,26641,1,72.5(A),PC,SK PUB FND REIMB ATND FNC,*,M,,,99800,19850101,,*
1,26642,1,72.5(A),PC,SK PUB FND REIMB ATND FNC,,F,,,53300,19850101,,*
1,26643,1,72.5(B),PC,SK PUB FND REIMB ADMT FNC,*,M,,,99800,19850101,,*
1,26644,1,72.5(B),PC,SK PUB FND REIMB ADMT FNC,,F,,,53300,19850101,,*
1,51008,1,73,PC,BUY APPOINTMENT TO OFFICE,,M,,,123500,18720101,,*
2,51009,1,74,PC,TAKE REWRD FOR DEPUTATION,,M,,,175200,18720101,20201124,*
2,16016,1,76(A),PC,THREATN/ETC ELEC OFCL/ETC,*,F,,,40100,19930101,20201027,*
2,16046,1,76(A),PC,THREATN/ETC ELEC OFCL/ETC,,M,,,89500,19930101,20201108,*
2,51010,1,85,PC,GIVE BRIBE TO LEGISLATOR,,F,,,19200,18720101,20201124,*
1,51011,1,86,PC,LEGISLATOR RECEIVE BRIBE,,F,,,19000,18720101,,*
2,51012,1,92,PC,OFR/ETC BRIB JUDG/JUR/ETC,,F,,,19300,18720101,20201124,*
1,50091,1,93,LC,DISOBEY SUBPOENA,,M,,,168200,19370827,,*
2,51013,1,93,PC,JUDGE/ETC RECEIVE BRIBE,,F,,,19400,18720101,20201113,*
2,51014,1,94,PC,JUDL OFCR REC/ETC BRIBE,,M,,,123600,18950101,20201108,*
1,51015,1,94.5,PC,JUDL OFCR ACC $ TO MARRY,,M,,,123700,19590918,,*
1,51016,1,95,PC,INFLUENCE JUROR/ETC,,F,,,69300,18720101,,*
1,50117,1,95.1,PC,THRET JUROR AFTER VERDICT,,F,,,40410,19880101,,*
1,50192,1,95.1,PC,THRTN JUROR AFTER VERDICT,*,M,,,99800,19880101,,*
1,50193,1,95.2,PC,PROVIDE DEFT W/JUROR INFO,,M,,,139900,19930101,,*
1,50194,1,95.3,PC,PI PRVD DEFT W/JUROR INFO,,M,,,139900,19930101,,*
1,50004,1,96,PC,MISCONDUCT OF JUROR/ETC,,F,,,69500,18720101,,*
1,50195,1,96.5(A),PC,JUDL OFCR OBSTRCT JUSTICE,,M,,,92600,19990101,,*
1,51017,1,97,PC,JUDGE PURCHASE JUDGEMENT,,M,,,123800,18720101,,*
1,31291,1,98.6(B)(2),LC,FAIL TO HIRE AFTR HEARING,,M,,,168200,20140101,,*
1,50196,1,99,PC,CONFLICT INT STATE PRNTR,,F,,,67500,18720101,,*
1,50197,1,100,PC,COLLSN SUPERINT ST PRNTNG,,F,,,66500,18720101,,*
1,48005,1,102,PC,TAKE/ETC GOODS FROM OFCR,,M,,,150300,18720101,,*
2,49088,1,107,PC,ESC:PUB TRAINING SCH/ETC,,F,,,61600,19410913,20201124,*
2,49005,1,109,PC,AID/ETC ESC:TRNG SCH/ETC,,F,,,61800,18720101,20201124,*
1,49006,1,110,PC,FUR INMATE W/ESCAPE EQUIP,,F,,,31600,18720101,,*
1,25104,1,112(A),PC,MFG/ETC FLSE GOV DOC,,M,,,93600,19950101,,*
1,25074,1,113,PC,MFG/ETC FLSE CITZ/ETC DOC,,F,,,4050,19950101,,*
1,25075,1,114,PC,USE FALSE CITIZEN/ETC DOC,,F,,,4051,19950101,,*
1,25057,1,115(A),PC,OFFER/ETC FAKE INSTR:FILE,,F,,,26900,19850101,,*
1,25117,1,115.1(B),PC,PBLSH CMPGN AD UNAUTH SIG,,F,,,76200,19910101,,*
1,25118,1,115.1(B),PC,PBLSH CMPGN AD UNAUTH SIG,*,M,,,167000,19910101,,*
1,25119,1,115.2(A),PC,PUBLISH FALSE CAMPAIGN AD,,M,,,167000,19920101,,*
1,25120,1,115.25(A),PC,PROD DOC INACC EMERG INFO,,M,,,167000,19930101,,*
1,25062,1,115.3,PC,ALT/ETC CERT CPY OFCL REC,,M,,,110400,19840905,,*
1,25067,1,115.5(A),PC,FILE FALSE/ETC REALTY DOC,,M,,,174520,19850101,,*
1,25073,1,115.5(B),PC,FALSE STATE TO NOTARY PUB,,F,,,26910,19850101,,*
1,50005,1,116,PC,TAMPERING W/JURY LIST,,F,,,26400,18720101,,*
1,50116,1,116.5(A),PC,JURY TAMPERING,,M,,,142805,19950101,,*
1,50006,1,117,PC,FALSIFY JURY LIST,,F,,,26500,18720101,,*
1,50111,1,118(A),PC,PERJURY,,F,PRJ,,20200,19900101,,*
1,50100,1,118.1,PC,OFCR FILES FALSE REPORT,,F,,,78120,19910101,,*
1,50148,1,118.1,PC,OFFICER FILE FALSE REPORT,*,M,,,97410,19910101,,*
1,50083,1,118A,PC,FALSE AFFIDAVT AS PERJURY,,F,FAP,,20300,19050101,,*
1,26309,1,119(A)(1),BP,DISPLAY/ETC REVOK/ETC LIC,,M,,,148600,19910101,,*
1,26125,1,119(C),BP,DISPLAY ANOTHER'S LICENSE,,M,,,148600,19650917,,*
1,26139,1,119(F),BP,UNLAWFUL POSS/DUPL LICENS,,M,,,148600,19650917,,*
1,31242,1,123(A),BP,SUBVERT LICENSING EXAM,,M,,,148600,19900101,,*
1,31198,1,125,BP,BUS/PROF CONSPIRE W/UNLIC,,M,,,148600,19491001,,*
1,50009,1,127,PC,SUBORNATION OF PERJURY,,F,,,20500,18720101,,*
1,50010,1,128,PC,PERJ:INOCENT PRSN EXECUTD,,F,,,1100,18720101,,*
1,26005,1,129,PC,FALSE STATEMNT UNDER OATH,,F,,,20600,19050101,,*
