CDS_Code,Status,County,District,schoolname
01100170000000,Active,Alameda,Alameda County Office of Education,No Data
01100170109835,Closed,Alameda,Alameda County Office of Education,FAME Public Charter
01100170112607,Active,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology
01100170118489,Closed,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy
01100170123968,Active,Alameda,Alameda County Office of Education,Community School for Creative Education
01100170124172,Active,Alameda,Alameda County Office of Education,Yu Ming Charter
01100170125567,Active,Alameda,Alameda County Office of Education,Urban Montessori Charter
01100170129403,Active,Alameda,Alameda County Office of Education,Epic Charter
01100170130302,Closed,Alameda,Alameda County Office of Education,"Technical, Agricultural & Nat."
01100170130401,Active,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court
01100170130419,Active,Alameda,Alameda County Office of Education,Alameda County Community
01100170130427,Closed,Alameda,Alameda County Office of Education,Alameda County Opportunity
01100170131276,Closed,Alameda,Alameda County Office of Education,Berkeley Trade & Tech. College
01100170131581,Active,Alameda,Alameda County Office of Education,Oakland Unity Middle
01100170131912,Closed,Alameda,Alameda County Office of Education,Canyon Valley Adult School
01100170136101,Active,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay
01100170136226,Active,Alameda,Alameda County Office of Education,Opportunity Academy
01100170136853,Closed,Alameda,Alameda County Office of Education,Roosevelt High (Defunct)
01100170137448,Active,Alameda,Alameda County Office of Education,Aurum Preparatory Academy
01100170138412,Closed,Alameda,Alameda County Office of Education,University High School (Defunc
01100170138644,Closed,Alameda,Alameda County Office of Education,Washington Evening High (Defun
01100170138867,Active,Alameda,Alameda County Office of Education,Hayward Collegiate Charter
01100176001788,Active,Alameda,Alameda County Office of Education,Cox Academy
01100176002000,Active,Alameda,Alameda County Office of Education,Lazear Charter Academy
01100176002729,Closed,Alameda,Alameda County Office of Education,Chabot Ranch
01100176002737,Merged,Alameda,Alameda County Office of Education,Juvenile Court Schools
01100176002745,Closed,Alameda,Alameda County Office of Education,Las Vistas School
01100176002752,Closed,Alameda,Alameda County Office of Education,Senior Camp
01100176002760,Closed,Alameda,Alameda County Office of Education,Snedigar Cottage
01100176066526,Merged,Alameda,Alameda County Office of Education,Koster/Whiteford Special Center
01100176066534,Closed,Alameda,Alameda County Office of Education,Whiteford School (TMR)
01100176072276,Closed,Alameda,Alameda County Office of Education,Alameda County Special Education
01100176089379,Closed,Alameda,Alameda County Office of Education,Buena Vista School (Girls)
01100176095897,Merged,Alameda,Alameda County Office of Education,Whiteford (June) School
01100176096531,Merged,Alameda,Alameda County Office of Education,School for School-Age Mothers
01100176097539,Closed,Alameda,Alameda County Office of Education,Sequoia Deaf/Blind Program
01100176097562,Merged,Alameda,Alameda County Office of Education,Burke (William P.) Special Center
01100176098586,Closed,Alameda,Alameda County Office of Education,East County Dch
01100176098628,Merged,Alameda,Alameda County Office of Education,La Fleche (Rock) Special Center
01100176098636,Merged,Alameda,Alameda County Office of Education,Motta (Ronald) Special Center
01100176106751,Active,Alameda,Alameda County Office of Education,Alameda County Special Education
01100176114896,Closed,Alameda,Alameda County Office of Education,New Village Community Public Charter East Bay
01316090000000,Active,Alameda,California School for the Blind (State Special Schl),No Data
01316090131755,Active,Alameda,California School for the Blind (State Special Schl),California School for the Blind
01316170000000,Active,Alameda,California School for the Deaf-Fremont (State Special Schl),No Data
01316170131763,Active,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont
01404027200009,Closed,Alameda,Mission Valley ROC/P,"David W. Gordon,Govt. Affairs"
01611190000000,Active,Alameda,Alameda Unified,No Data
01611190100818,Closed,Alameda,Alameda Unified,College Preparatory & Architecture Academy
01611190106401,Active,Alameda,Alameda Unified,Alameda Science and Technology Institute
01611190111765,Active,Alameda,Alameda Unified,Ruby Bridges Elementary
01611190119222,Active,Alameda,Alameda Unified,Nea Community Learning Center
01611190122085,Active,Alameda,Alameda Unified,The Academy of Alameda
01611190126656,Closed,Alameda,Alameda Unified,Maya Lin
01611190128199,Closed,Alameda,Alameda Unified,Encinal Junior Jets
01611190130120,Active,Alameda,Alameda Unified,Alameda Adult
01611190130229,Active,Alameda,Alameda Unified,Alameda High
01611190130476,Closed,Alameda,Alameda Unified,Alameda City Unified Alternative Educ.
01611190130609,Active,Alameda,Alameda Unified,Alameda Community Learning Center
01611190130625,Active,Alameda,Alameda Unified,Alternatives in Action
01611190131805,Active,Alameda,Alameda Unified,The Academy of Alameda Elementary
01611190132142,Active,Alameda,Alameda Unified,Encinal Junior/Senior High
01611190132878,Closed,Alameda,Alameda Unified,Encinal High
01611190134304,Active,Alameda,Alameda Unified,Island High (Continuation)
01611190138214,Active,Alameda,Alameda Unified,Alameda Unified Special Education
01611190139220,Active,Alameda,Alameda Unified,Maya Lin
01611196000004,Closed,Alameda,Alameda Unified,Chipman Middle
01611196090005,Closed,Alameda,Alameda Unified,Donald D. Lum Elementary
01611196090013,Active,Alameda,Alameda Unified,Edison Elementary
01611196090021,Active,Alameda,Alameda Unified,Frank Otis Elementary
01611196090039,Active,Alameda,Alameda Unified,Franklin Elementary
01611196090047,Active,Alameda,Alameda Unified,Love Elementary
01611196090054,Active,Alameda,Alameda Unified,Lincoln Middle
01611196090062,Closed,Alameda,Alameda Unified,Longfellow Elementary
01611196090070,Closed,Alameda,Alameda Unified,Mastick Elementary
01611196090088,Closed,Alameda,Alameda Unified,George P. Miller Elementary
01611196090096,Closed,Alameda,Alameda Unified,Porter Elementary
01611196090104,Closed,Alameda,Alameda Unified,Washington Elementary
01611196090112,Active,Alameda,Alameda Unified,Will C. Wood Middle
01611196090120,Active,Alameda,Alameda Unified,William G. Paden Elementary
01611196090138,Closed,Alameda,Alameda Unified,Woodstock Elementary
01611196100374,Active,Alameda,Alameda Unified,Amelia Earhart Elementary
01611196103451,Closed,Alameda,Alameda Unified,Grand Alternative
01611196110779,Active,Alameda,Alameda Unified,Bay Farm
01611270000000,Active,Alameda,Albany City Unified,No Data
01611270126631,Closed,Alameda,Albany City Unified,Albany Children's Center
01611270130211,Closed,Alameda,Albany City Unified,Albany Adult
01611270130294,Active,Alameda,Albany City Unified,MacGregor High (Continuation)
01611270130351,Closed,Alameda,Albany City Unified,Albany Adult
01611270130450,Active,Alameda,Albany City Unified,Albany High
01611276085583,Closed,Alameda,Albany City Unified,Albany Primary
01611276090146,Active,Alameda,Albany City Unified,Cornell Elementary
01611276090153,Closed,Alameda,Albany City Unified,MacGregor Primary
01611276090161,Active,Alameda,Albany City Unified,Albany Middle
01611276090179,Closed,Alameda,Albany City Unified,Vista-MacGregor Primary
01611276095376,Active,Alameda,Albany City Unified,Marin Elementary
01611276116222,Active,Alameda,Albany City Unified,Ocean View Elementary
01611350000000,Merged,Alameda,Amador Valley Joint Union High,No Data
01611350130013,Merged,Alameda,Amador Valley Joint Union High,Amador Valley Adult Education
01611350130021,Closed,Alameda,Amador Valley Joint Union High,Amador Valley Adult Education
01611350130096,Merged,Alameda,Amador Valley Joint Union High,Foothill High
01611350130252,Merged,Alameda,Amador Valley Joint Union High,Village High
01611350130310,Merged,Alameda,Amador Valley Joint Union High,Pleasanton Unified Alternative
01611350130583,Merged,Alameda,Amador Valley Joint Union High,Amador Valley High
01611350132704,Merged,Alameda,Amador Valley Joint Union High,Dublin High
01611350138453,Merged,Alameda,Amador Valley Joint Union High,Valley High
01611430000000,Active,Alameda,Berkeley Unified,No Data
01611430122689,Closed,Alameda,Berkeley Unified,REALM Charter Middle
01611430122697,Closed,Alameda,Berkeley Unified,REALM Charter High
01611430122804,Active,Alameda,Berkeley Unified,Berkeley Special Education Preschool
01611430131078,Active,Alameda,Berkeley Unified,Berkeley Adult
01611430131177,Active,Alameda,Berkeley Unified,Berkeley High
01611430131219,Closed,Alameda,Berkeley Unified,"West Campus, Berkeley High"
01611430134924,Active,Alameda,Berkeley Unified,Berkeley Technology Academy
01611430138552,Closed,Alameda,Berkeley Unified,REALM Charter
01611436056857,Active,Alameda,Berkeley Unified,Martin Luther King Middle
01611436056865,Active,Alameda,Berkeley Unified,Willard Middle
01611436068142,Closed,Alameda,Berkeley Unified,King Educational Center
01611436069603,Closed,Alameda,Berkeley Unified,Home Teaching
01611436069611,Closed,Alameda,Berkeley Unified,Pregnant Minors Program
01611436090187,Active,Alameda,Berkeley Unified,Rosa Parks Environmental Science
01611436090195,Active,Alameda,Berkeley Unified,Cragmont Elementary
01611436090203,Closed,Alameda,Berkeley Unified,Tilden Primary
01611436090211,Active,Alameda,Berkeley Unified,Emerson Elementary
01611436090229,Closed,Alameda,Berkeley Unified,Franklin Elementary
01611436090237,Closed,Alameda,Berkeley Unified,Hillside Primary
01611436090245,Closed,Alameda,Berkeley Unified,Grizzly Peak Primary
01611436090252,Active,Alameda,Berkeley Unified,Jefferson Elementary
01611436090260,Closed,Alameda,Berkeley Unified,Muir Model School
01611436090278,Active,Alameda,Berkeley Unified,Sylvia Mendez Elementary
01611436090286,Active,Alameda,Berkeley Unified,Malcolm X Elementary
01611436090294,Active,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle
01611436090302,Active,Alameda,Berkeley Unified,Oxford Elementary at West Campus
01611436090310,Active,Alameda,Berkeley Unified,Thousand Oaks Elementary
01611436090328,Active,Alameda,Berkeley Unified,Washington Elementary
01611436090336,Closed,Alameda,Berkeley Unified,Whittier Primary
01611436096077,Closed,Alameda,Berkeley Unified,Kilimanjaro
01611436097729,Active,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier
01611436101042,Closed,Alameda,Berkeley Unified,Berkeley Alternative Jr. High
01611436105316,Active,Alameda,Berkeley Unified,John Muir Elementary
01611439007139,Merged,Alameda,Berkeley Unified,Franklin Parent Nursery
01611439011354,Merged,Alameda,Berkeley Unified,Longfellow Parent Nursery
01611439011362,Merged,Alameda,Berkeley Unified,UC Child Study Parent Nursery
01611500000000,Active,Alameda,Castro Valley Unified,No Data
01611500102194,Closed,Alameda,Castro Valley Unified,Redwood Alternative High
01611500118216,Active,Alameda,Castro Valley Unified,Alma Preschool
01611500130039,Active,Alameda,Castro Valley Unified,Castro Valley Adult and Career Education
01611500130047,Active,Alameda,Castro Valley Unified,Roy A. Johnson High
01611500130195,Closed,Alameda,Castro Valley Unified,Redwood Adult Center
01611500132209,Closed,Alameda,Castro Valley Unified,Castro Valley Evening High Sch
01611500132225,Active,Alameda,Castro Valley Unified,Castro Valley High
01611500133876,Active,Alameda,Castro Valley Unified,Castro Valley Virtual Academy
01611500135533,Active,Alameda,Castro Valley Unified,Redwood Continuation High
01611506090344,Closed,Alameda,Castro Valley Unified,A. B. Morris Intermediate
01611506090351,Active,Alameda,Castro Valley Unified,Castro Valley Elementary
01611506090369,Active,Alameda,Castro Valley Unified,Chabot Elementary
01611506090377,Closed,Alameda,Castro Valley Unified,Clifton Elementary
01611506090385,Active,Alameda,Castro Valley Unified,Creekside Middle
01611506090393,Active,Alameda,Castro Valley Unified,Independent Elementary
01611506090401,Active,Alameda,Castro Valley Unified,Marshall Elementary
01611506090419,Active,Alameda,Castro Valley Unified,Palomares Elementary
01611506090427,Closed,Alameda,Castro Valley Unified,Parsons Elementary
